Campaign,Ad group,Status,Max CPC
AF_Search_Engines_HighIntent,Toyota Corolla Engine,Paused,0.35
AF_Search_Engines_HighIntent,Toyota Camry Engine,Paused,0.35
AF_Search_Engines_HighIntent,Toyota Vitz Yaris Engine,Paused,0.35
AF_Search_Engines_HighIntent,Hyundai Kia Engine,Paused,0.35
AF_Search_Engines_HighIntent,Nissan Honda Engine,Paused,0.35
AF_Search_Gearboxes_HighIntent,Toyota Gearbox,Paused,0.35
AF_Search_Gearboxes_HighIntent,Hyundai Kia Gearbox,Paused,0.35
AF_Search_HalfCuts_Import,Half Cut Africa,Paused,0.35
AF_Search_Import_FromChina,China To Africa Auto Parts,Paused,0.35
