Campaign,Ad group,Status,Max CPC
WA_Search_Engines_HighIntent,Corolla 2009-2013 Engine,Paused,0.35
WA_Search_Engines_HighIntent,Camry Engine,Paused,0.35
WA_Search_Engines_HighIntent,Vitz Yaris Engine,Paused,0.35
WA_Search_Engines_HighIntent,Hyundai Kia SUV Engine,Paused,0.35
WA_Search_Engines_HighIntent,Nissan Honda Engine,Paused,0.35
WA_Search_Gearboxes_HighIntent,Toyota Gearbox,Paused,0.35
WA_Search_Gearboxes_HighIntent,Hyundai Kia Gearbox,Paused,0.35
WA_Search_HalfCuts_Import,Half Cut West Africa,Paused,0.35
WA_Search_Import_FromChina,China To West Africa Auto Parts,Paused,0.35
